index,index_city,Population
2704,Islip,18689
2709,Marshfield,18620
2710,Lorton,18610
2712,Gautier,18570
2713,Goodings Grove,18569
2714,Bourbonnais,18569
2715,Macomb,18547
2716,Point Pleasant,18523
2717,Bellaire,18518
2718,El Reno,18516
2719,Chowchilla,18510
2720,Mead Valley,18510
2721,Hyattsville,18501
2722,Happy Valley,18493
2724,Onalaska,18468
2725,Round Lake,18461
2726,Stafford,18459
2727,Yorkville,18451
2729,North Ogden,18446
2730,Bensenville,18440
2731,Forney,18418
2732,Monsey,18412
2733,Fern Creek,18409
2734,Shenandoah,18399
2735,El Dorado,18386
2737,Ashtabula,18371
2738,Natchitoches,18365
2741,Ottawa,18342
2742,Shafter,18336
2743,Amesbury,18313
2744,Meadowbrook,18312
2745,Franklin Park,18312
2746,McAlester,18310
2747,Punta Gorda Isles,18306
2748,Palestine,18288
2749,Sherrelwood,18287
2750,Creve Coeur,18276
2751,Cinco Ranch,18274
2752,Ballenger Creek,18274
2754,Palmer,18261
2755,Belle Glade,18251
2756,Franconia,18245
2757,Eastlake,18232
2759,Cameron Park,18228
2760,Steubenville,18219
2761,Springboro,18213
2762,Wallingford Center,18209
2763,Lanham-Seabrook,18190
2764,Clark-Fulton,18185
2766,Pampa,18177
2768,Florida Ridge,18164
2769,Five Corners,18159
2770,Boone,18156
2771,Seminole,18153
2772,Punta Gorda,18150
2773,Rosamond,18150
2774,Cutler,18117
2775,Mattoon,18113
2776,Arroyo Grande,18108
2778,Rancho Mirage,18083
2779,Limerick,18074
2780,Wilton,18062
2782,Ojus,18036
2783,Santa Fe Springs,18026
2784,Vincennes,18012
2785,Amsterdam,18008
2786,Durango,18006
2787,Dumont,18001
2788,Hanahan,17997
2789,Central Point,17995
2791,Elizabeth City,17988
2792,Newburyport,17982
2793,Rockland,17982
2794,Westbrook,17978
2795,St. Marys,17968
2796,Lackawanna,17965
2798,Westerly,17936
2799,Maumelle,17931
2800,Leland,17924
2801,Wisconsin Rapids,17897
2802,Lenoir,17888
2803,North Massapequa,17886
2804,Scarsdale,17885
2805,Nanuet,17882
2806,Gretna,17880
2807,Sheridan,17873
2808,North Amityville,17862
2809,Arcata,17843
2810,Hannibal,17839
2811,Colonial Heights,17820
2813,Colonia,17795
2814,Logansport,17793
2816,Linda,17773
2817,Tinton Falls,17772
2818,Godfrey,17759
2820,West Garfield Park,17742
2821,Willimantic,17737
2822,Calverton,17724
2823,Oxon Hill,17722
2824,Takoma Park,17713
2825,Sycamore,17712
2826,Wallingford,17712
2827,Cocoa,17711
2828,Martinsburg,17700
2829,Marco Island,17690
2830,Tiffin,17687
2831,Albert Lea,17674
2832,South Hadley,17652
2833,Shaw,17639
2834,Ocean Springs,17636
2835,Hinsdale,17628
2837,Winthrop,17618
2838,Lindenwold,17613
2839,Kenwood,17601
2841,Hopkins,17591
2842,Allendale,17579
2843,Menasha,17572
2844,Palos Hills,17565
2845,Prunedale,17560
2846,Stevenson Ranch,17557
2847,Culpeper,17557
2848,South Houston,17544
2849,Kirksville,17520
2850,Tallmadge,17512
2851,North Babylon,17509
2853,New Philadelphia,17484
2854,Saint Matthews,17472
2855,Maitland,17463
2856,North Aurora,17456
2857,Safety Harbor,17454
2858,North Canton,17441
2859,East Hemet,17418
2860,Radford,17403
2862,Tillmans Corner,17398
2863,Detroit-Shoreway,17382
2864,Anoka,17350
2865,East Cleveland,17344
2866,Sudbury,17343
2867,Plainville,17328
2869,Ada,17303
2870,South Orange,17295
2871,Glassmanor,17295
2872,Idylwood,17288
2873,Seabrook,17287
2874,Durant,17286
2875,Killingly Center,17282
2876,Kings Park,17282
2877,Canby,17271
2878,Poplar Bluff,17266
2879,Moraga,17256
2880,Redland,17242
2881,Massapequa Park,17232
2882,Kuna,17226
2883,Foley,17218
2884,Ruskin,17208
2885,Hermiston,17201
2886,Nederland,17196
2888,Ashwaubenon,17176
2889,Live Oak,17158
2891,Okolona,17134
2893,Wyckoff,17124
2894,Woodmere,17121
2896,Imperial,17095
2898,White Settlement,17077
2899,Eloy,17059
2900,Beckley,17056
2901,Broad Ripple,17041
2902,El Segundo,17037
2903,Holden,17016
2904,Avenel,17011
2905,East Setauket,17006
2906,Goodlettsville,16994
2908,Colchester,16986
2910,Terrell,16981
2911,Artesia,16961
2912,South Ogden,16955
2913,La Vista,16921
2915,Tanque Verde,16901
2916,Glenvar Heights,16898
2917,Pendleton,16881
2919,Sayville,16853
2920,Clarksdale,16847
2922,Fairview Heights,16827
2923,San Carlos Park,16824
2926,New Milford,16801
2927,North Attleborough Center,16796
2928,Country Club Hills,16795
2929,Sartell,16788
2930,Lemont,16788
2931,Dyersburg,16781
2932,Defiance,16776
2933,Beltsville,16772
2934,Centralia,16753
2935,Chalmette,16751
2936,Shorewood,16747
2940,Bluffton,16728
2941,Tifton,16725
2943,Nipomo,16714
2946,North Decatur,16698
2947,Morganton,16692
2949,Barrington,16669
2950,Denville,16669
2952,Phoenixville,16658
2953,Mercedes,16657
2954,Center Point,16655
2955,Lemay,16645
2956,Wolcott,16639
2957,Norcross,16634
2958,Troutdale,16631
2959,Oak Grove,16629
2960,North Valley Stream,16628
2962,Easthampton,16611
2963,Bothell West,16607
2964,Tahlequah,16598
2965,Hazel Park,16597
2967,Opelousas,16591
2968,Grafton,16583
2969,Sandalfoot Cove,16582
2970,Brenham,16579
2971,Opa-locka,16565
2972,Coalinga,16564
2973,Beaver Dam,16564
2975,Jenison,16538
2976,Cohoes,16538
2977,Swansea,16525
2978,Donna,16523
2979,Vienna,16522
2980,Pinewood,16520
2981,Lansdale,16512
2982,Sevierville,16490
2983,Chickasha,16488
2984,Kingsland,16487
2985,Uvalde,16476
2986,Hillcrest Heights,16469
2987,Stuart,16462
2988,Fairhaven,16453
2990,Zachary,16448
2991,Red Wing,16445
2992,Sikeston,16436
2993,Bethpage,16429
2995,Flowing Wells,16419
2996,Bridgeview,16407
2997,Fairview Park,16407
2998,Laguna Woods,16406
2999,Anacortes,16403
3000,Cañon City,16400
3001,Mount Clemens,16400
3002,Saint Michael,16399
3003,South River,16399
3004,Fort Thomas,16398
3005,Sunset,16389
3006,Prospect Heights,16386
3007,Griffith,16378
3008,Estelle,16377
3009,Bon Air,16366
3010,Oconomowoc,16360
3011,Hough,16359
3012,Vero Beach,16358
3015,Bayshore Gardens,16323
3016,Streetsboro,16312
3017,Calhoun,16309
3018,Morton,16306
3019,Menomonie,16305
3020,Truckee,16299
3022,Buckhall,16293
3025,Baychester,16274
3026,Hopatcong Hills,16267
3027,Waterville,16261
3028,Oroville,16260
3029,Roosevelt,16258
3030,Laconia,16227
3031,Bellmore,16218
3032,Hibbing,16204
3033,Sudley,16203
3035,Coos Bay,16182
3036,Hope Mills,16163
3037,Cimarron Hills,16161
3038,Katy,16158
3040,Clarksburg,16152
3041,Jollyville,16151
3042,Highland Village,16149
3043,Ocean Acres,16142
3044,Wolf Trap,16131
3047,Midway,16115
3048,Sulphur Springs,16098
3049,Maryland City,16093
3050,Siloam Springs,16081
3051,Ham Lake,16062
3052,West Columbia,16060
3055,Dyer,16051
3056,Rye,16046
3057,Fort Hunt,16045
3058,Americus,16028
3059,Hermitage,16028
3061,Crawfordsville,16024
3062,Lake Mary,16021
3063,Republic,16005
3064,Albemarle,16003
3066,Country Walk,15997
3067,Riverdale,15989
3069,Floral Park,15969
3070,Prosper,15967
3071,Walnut Park,15966
3072,Pecan Grove,15963
3073,Overland,15959
3074,Grandville,15953
3076,Sunland Park,15940
3077,North Liberty,15931
3079,Vincent,15922
3081,Parole,15922
3082,Southchase,15921
3083,Ukiah,15917
3084,La Marque,15908
3085,North Arlington,15904
3086,La Palma,15904
3087,Seagoville,15894
3090,Pearl River,15876
3091,Conyers,15875
3092,Myrtle Grove,15870
3093,Aldine,15869
3094,Narragansett,15868
3095,Kaukauna,15854
3096,Port Washington,15846
3097,New Port Richey,15842
3099,Adams Morgan,15830
3100,Rutland,15824
3101,Asbury Park,15818
3102,Lutherville-Timonium,15814
3104,Hybla Valley,15801
3105,Longmeadow,15784
3106,Elkton,15782
3107,Grosse Pointe Woods,15762
3109,Pinehurst,15752
3110,Groves,15750
3111,West University Place,15741
3112,Wilkinsburg,15731
3113,Willow Grove,15726
3114,Manassas Park,15726
3115,Gatesville,15724
3116,Avon Center,15724
3117,La Grange,15723
3118,Great Bend,15717
3119,Shively,15713
3120,Highland Springs,15711
3121,Hueytown,15710
3123,Mill Creek East,15709
3124,Talladega,15709
3125,Middleburg Heights,15696
3126,Pacific Grove,15674
3127,Mitchell,15669
3128,Humble,15665
3129,Greenwood Village,15663
3130,Bryn Mawr-Skyway,15645
3131,Bradley,15617
3132,McKinley Park,15612
3133,Elkridge,15593
3135,North Myrtle Beach,15579
3136,Williamstown,15567
3138,Otsego,15551
3139,Boulder City,15551
3140,Fillmore,15548
3141,Lake Wales,15541
3142,Alum Rock,15536
3144,East Riverdale,15509
3145,Laurinburg,15507
3146,Hernando,15503
3147,Hurricane,15501
3150,Lithia Springs,15491
3151,Mastic,15481
3152,Farmingville,15481
3153,Setauket-East Setauket,15477
3155,Martha Lake,15473
3156,Port Richmond,15470
3157,Indianola,15467
3158,Perry,15457
3159,Jasper,15451
3160,Clive,15447
3161,Winder,15447
3162,Clemson,15446
3164,Tavares,15430
3167,Terrace Heights,15421
3168,Emerson Hill,15412
3169,Avocado Heights,15411
3170,Eden,15403
3171,Bay Village,15402
3172,Lake Butler,15400
3173,Westbury,15379
3174,Bostonia,15379
3175,Iona,15369
3176,Dickson,15359
3178,Cullman,15350
3180,Roanoke Rapids,15345
3182,Storrs,15344
3183,The Dalles,15340
3184,Los Lunas,15336
3187,Sunland,15316
3188,Millbrook,15314
3190,Warren Township,15311
3191,Seaford,15294
3192,Washougal,15288
3194,Graniteville,15272
3196,Stallings,15270
3197,River Falls,15269
3198,Berkley,15268
3199,Damascus,15257
3201,Susanville,15247
3202,Pataskala,15245
3203,Traverse City,15218
3204,South Yuba City,15217
3205,Merrifield,15212
3206,Ledyard,15212
3207,Fords,15187
3208,New Territory,15186
3209,Clearlake,15182
3210,McKinleyville,15177
3212,Highview,15167
3214,Belvedere Park,15152
3215,Ripon,15151
3217,Depew,15146
3218,Seven Oaks,15144
3219,Gates-North Gates,15138
3220,Wilmington Island,15138
3221,Parlier,15138
3222,East Rancho Dominguez,15135
3223,Natchez,15128
3224,Cloverly,15126
3226,Lamont,15120
3227,East Brainerd,15114
3228,Rio Linda,15106
3229,Vandalia,15106
3231,East Longmeadow,15102
3232,West Park,15097
3233,Greeneville,15094
3235,Adelphi,15086
3236,Front Royal,15070
3238,Spanish Springs,15064
3239,Fort Leonard Wood,15061
3240,Duxbury,15059
3243,Somerton,15048
3244,Three Lakes,15047
3245,Auburndale,15035
3246,Gloversville,15023
3247,Hereford,15021
3248,Eggertsville,15019
3250,Dumas,15001
3251,Bull Run,14983
3252,Ammon,14960
3253,New River,14952
3254,Kilgore,14947
3256,Knik-Fairview,14923
3258,Tonawanda,14907
3259,Villa Rica,14904
3260,North New Hyde Park,14899
3262,Tolland,14891
3263,Canyon,14887
3266,Tenafly,14880
3267,Marco,14879
3268,East San Gabriel,14874
3271,Coto De Caza,14866
3273,Crowley,14853
3274,Saint John,14850
3276,Welby,14846
3277,Horsham,14842
3278,Mastic Beach,14841
3279,Mashpee,14834
3280,Masonboro,14826
3281,Powder Springs,14826
3282,Jennings,14819
3283,Head of Westport,14809
3284,Scottsbluff,14802
3285,Sierra Vista Southeast,14797
3286,East Highland Park,14796
3287,Glen Allen,14774
3289,Douglaston,14762
3290,Mineral Wells,14754
3291,Cherryland,14728
3292,Scottsboro,14722
3294,Alexander City,14718
3295,Lady Lake,14717
3296,Niceville,14714
3297,West Norriton,14702
3298,Owosso,14699
3299,Blytheville,14694
3300,Ellington,14693
3301,Whitewater,14692
3303,North Fair Oaks,14687
3304,Hollins,14673
3305,Forrest City,14672
3306,Parkway,14670
3308,Colesville,14647
3309,Cinnaminson,14646
3310,Fraser,14636
3311,Chaparral,14631
3312,Clark,14628
3313,Norridge,14621
3314,Hammonton,14618
3315,Zephyrhills,14611
3317,Groveton,14598
3318,Bemidji,14594
3319,Hawaiian Gardens,14592
3320,Bloomsburg,14585
3321,Thibodaux,14584
3322,Valle Vista,14578
3324,Druid Hills,14568
3325,Yankton,14557
3326,Beech Grove,14548
3327,Cedar Mill,14546
3328,Lake Saint Louis,14545
3329,Northview,14541
3331,Warrington,14531
3332,Deming,14522
3333,Greece,14519
3335,Phillipsburg,14515
3336,Hopatcong,14510
3337,Worthington,14498
3338,Greensburg,14495
3340,Hartselle,14493
3341,Miami Springs,14490
3342,South Farmingdale,14486
3343,East Islip,14475
3344,Kerman,14475
3345,Warsaw,14472
3346,Glasgow,14470
3347,North Branford,14454
3348,Fairview,14451
3350,Chubbuck,14428
3351,Scott Lake,14425
3352,Robbinsdale,14418
3355,Bridgetown,14407
3356,Callaway,14405
3357,Rio Grande City,14404
3358,Pineville,14403
3359,Cahokia,14402
3360,Sarasota Springs,14395
3361,Mill Valley,14394
3362,Hugo,14388
3363,Moultrie,14377
3365,Chicago Ridge,14373
3366,Cutlerville,14370
3367,Morris,14363
3369,Brookside,14353
3370,Beacon,14347
3372,Woodcrest,14347
3373,Greendale,14333
3375,Hunters Creek,14321
3376,Carthage,14319
3377,Manorville,14314
3378,Phelan,14304
3381,Glens Falls,14291
3382,Los Osos,14276
3383,New Franklin,14275
3384,Hershey,14257
3385,Knightdale,14256
3386,Hewitt,14252
3387,Alpine,14236
3388,Gibsonton,14234
3389,Gantt,14229
3390,Moorestown-Lenola,14217
3391,Lakeway,14217
3392,Murraysville,14215
3394,Bradley Gardens,14206
3395,Elk Plain,14205
3396,Camano,14202
3397,Berkeley Heights,14179
3398,Mount Holly,14176
3399,Cherry Hill Mall,14171
3400,Oldsmar,14170
3401,Fort Payne,14150
3402,Wykagyl,14146
3403,Jefferson Valley-Yorktown,14142
3404,Five Forks,14140
3405,Hayden,14133
3406,Red Bluff,14131
3407,New Fairfield,14126
3409,Hickory Hills,14122
3410,Hyannis,14120
3411,Arverne,14120
3412,Hazel Crest,14118
3413,Whitefish Bay,14110
3414,Weehawken,14104
3416,North Reading,14101
3417,Indiana,14100
3418,Fish Hawk,14087
3419,Longwood,14085
3421,Reidsville,14067
3422,Dentsville,14062
3423,Northbridge,14061
3424,New Cassel,14059
3426,Apollo Beach,14055
3427,Waycross,14053
3429,Chippewa Falls,14047
3430,Westwood,14029
3431,Mount Washington,14028
3432,East Bridgewater,14021
3433,Washington Court House,14019
3434,Rocky Point,14014
3435,Holliston,14010
3436,Pierre,14002
3437,Horizon West,14000
3438,Collingswood,14000
3439,Elfers,13986
3440,McFarland,13985
3441,Beach Park,13976
3442,Sun Lakes,13975
3443,Fairburn,13967
3445,Seekonk,13966
3446,Upper Grand Lagoon,13963
3447,Willowick,13957
3450,South Venice,13949
3451,Maumee,13940
3452,Middlesex,13934
3453,Allouez,13930
3454,Paradise Valley,13922
3455,Moberly,13919
3456,Wood Dale,13917
3458,Saint Simon Mills,13915
3459,Levelland,13914
3461,Saraland,13906
3462,King City,13902
3465,Falls Church,13892
3466,Metuchen,13886
3467,Olean,13870
3468,Oneonta,13862
3469,Ephrata,13861
3470,Circleville,13857
3471,Forest City,13854
3472,Harper Woods,13836
3474,Princeton Meadows,13834
3475,Sault Ste. Marie,13827
3476,Andrews,13816
3477,Wauconda,13814
3479,Fort Carson,13813
3481,Stanford,13809
3482,Pottsville,13802
3483,Homosassa Springs,13791
3484,Ladson,13790
3485,Swampscott,13787
3486,Sharonville,13774
3487,Elizabethton,13772
3490,Cromwell,13750
3491,Buford,13748
3492,West Richland,13746
3493,Wixom,13746
3494,Greenlawn,13742
3495,Stony Brook,13740
3496,Mountain Home,13730
3497,Carpinteria,13727
3498,Salida,13722
3499,Sienna Plantation,13721
3501,Gardendale,13711
3502,Hidalgo,13709
3503,Muscle Shoals,13706
3504,Buda,13705
3505,Mebane,13698
3506,Richton Park,13695
3507,Baker,13695
3510,Fort Campbell North,13685
3511,Palos Verdes Estates,13682
3512,East Greenwich,13682
3514,Boerne,13674
3515,Roselle Park,13670
3516,Fort Mill,13662
3517,East Wenatchee,13659
3518,Olivehurst,13656
3519,Moss Point,13654
3520,Bexley,13654
3522,Pell City,13646
3523,Martinsville,13645
3524,Copley,13641
3526,Cayce,13619
3527,West Freehold,13613
3529,La Grange Park,13608
3530,Port Orchard,13607
3531,Millbury,13606
3532,Hampton Bays,13603
3533,Grover Beach,13600
3534,Bergen Beach,13596
3537,Jericho,13567
3539,Sharon,13562
3540,Verona,13545
3542,Warrensville Heights,13542
3543,Southern Pines,13539
3545,Palmetto Estates,13535
3546,North Mankato,13529
3547,Glenmont,13529
3549,Hockessin,13527
3550,Destin,13523
3551,Mount Dora,13519
3552,Lynden,13517
3553,Havre de Grace,13504
3555,Waxhaw,13495
3556,White Center,13495
3557,River Ridge,13494
3558,Olympia Heights,13488
3559,Village of Campton Hills,13483
3561,Glenn Dale,13466
3562,San Marino,13464
3563,Orangeburg,13460
3565,Solana Beach,13449
3566,Timberwood Park,13447
3567,Lockhart,13446
3568,Brecksville,13440
3569,Chesterton,13433
3570,Sauk Rapids,13424
3571,South Park Township,13416
3572,Oatfield,13415
3574,Kings Park West,13390
3575,Nesconset,13387
3577,Grain Valley,13379
3578,Dunmore,13379
3579,Brainerd,13371
3580,Western Springs,13369
3581,Discovery Bay,13352
3583,Bellair-Meadowbrook Terrace,13343
3584,Saint James,13338
3585,Ridge,13336
3586,New Ulm,13327
3587,South Sioux City,13319
3588,Warrenville,13317
3589,Huron,13313
3591,Waunakee,13311
3592,Beaufort,13306
3593,Avenal,13301
3594,Monticello,13299
3595,Riverhead,13299
3596,West Carrollton City,13297
3598,Piney Green,13293
3599,Butler,13289
3600,Citrus Ridge,13285
3601,Fergus Falls,13281
3602,California City,13277
3603,Beeville,13277
3604,Gonzalez,13273
3605,Vadnais Heights,13266
3606,North Adams,13263
3608,Palmetto,13249
3609,Lake Forest Park,13243
3610,Spring Lake,13234
3611,Mercerville,13230
3612,Colonial Park,13229
3613,Glenpool,13225
3614,Fruitville,13224
3615,Red Hill,13223
3617,Lindsay,13217
3618,Calera,13213
3620,Carriere,13198
3621,Atlantic Beach,13193
3622,Streator,13182
3623,Lea Hill,13182
3624,Teays Valley,13175
3625,Lone Tree,13175
3626,Brandermill,13173
3627,Soddy-Daisy,13171
3628,Snoqualmie,13169
3629,Fostoria,13167
3631,Short Hills,13165
3632,Wayland,13155
3633,Raynham,13153
3634,Coatesville,13148
3636,McPherson,13144
3639,Saddle Brook,13130
3640,Bellefontaine,13117
3641,Black Forest,13116
3642,Ridgefield Park,13102
3643,Grovetown,13093
3644,Bardstown,13091
3647,Commerce,13081
3648,La Grande,13074
3649,Saint Marys,13070
3651,Kingsgate,13065
3653,Meadville,13061
3655,Harwich,13059
3656,South Charleston,13045
3657,Medway,13042
3661,North Auburn,13022
3662,Tehachapi,13021
3663,Saint Ann,13020
3664,Endicott,13014
3665,Thonotosassa,13014
3666,Arrochar,13010
3667,Connersville,13010
3669,Rantoul,13008
3670,Middleburg,13008
3672,Saint Simons Island,13000
3673,Shadow Hills,13000
3674,Woodward,12993
3676,Key Biscayne,12990
3680,Saint Augustine,12975
3681,Powell,12972
3682,Justice,12968
3683,Glen Carbon,12966
3684,West Monroe,12966
3685,Malibu,12965
3686,College,12964
3687,Borger,12964
3688,Shiloh,12961
3689,Fort Drum,12955
3690,Grass Valley,12944
3692,Greenwich,12942
3693,Lakeland North,12942
3695,Fulton,12939
3697,Wawarsing,12925
3698,Mounds View,12914
3699,Herrin,12910
3700,Grenada,12900
3703,Dardenne Prairie,12890
3704,Saint Helens,12883
3705,Forest Hill,12881
3706,Weigelstown,12875
3709,York Beach,12854
3710,Holiday City-Berkeley,12831
3711,Hot Springs Village,12807
3712,Fruita,12795
3715,New Carrollton,12786
3716,Port Neches,12786
3717,Hamilton Square,12784
3718,Fallsburg,12773
3719,Charlton,12764
3723,Finneytown,12741
3724,Elk City,12717
3725,New Kensington,12713
3726,Conneaut,12712
3729,Minden,12690
3730,Middle Valley,12684
3731,Markham,12682
3732,Belle Chasse,12679
3735,Pedley,12672
3736,El Sobrante,12669
3737,McComb,12661
3738,Half Moon Bay,12657
3739,Sylacauga,12657
3740,Lilburn,12655
3741,West Valley,12655
3743,Artondale,12653
3744,San Anselmo,12653
3745,Lincolnwood,12646
3746,Panama City Beach,12624
3747,Montgomeryville,12624
3748,Joppatowne,12616
3749,Uxbridge,12614
3750,Effingham,12604
3751,Eufaula,12596
3752,Channahon,12594
3753,Moody,12593
3755,South Daytona,12584
3756,Platteville,12572
3757,Gaffney,12566
3758,Kemp Mill,12564
3760,Azalea Park,12556
3762,Rendon,12552
3763,Palos Heights,12545
3764,Wickliffe,12545
3767,Bonita,12538
3768,Kewanee,12533
3769,Woodland Park,12518
3770,Bainbridge,12507
3773,Windsor Locks,12498
3774,Winnetka,12472
3775,New Providence,12469
3776,Green River,12465
3777,Grand Terrace,12464
3778,Patchogue,12463
3779,Cedar Grove,12457
3782,Ringwood,12448
3783,Steamboat Springs,12435
3784,North Madison,12435
3785,Abbeville,12434
3786,Fort Atkinson,12426
3787,Lake Arrowhead,12424
3788,Irondale,12423
3790,Larkspur,12417
3791,Port Lavaca,12416
3794,Fernway,12414
3795,Beatrice,12388
3797,Wilton Manors,12385
3799,Federal Heights,12381
3800,Spring Creek,12361
3801,New Baltimore,12354
3802,Forestville,12353
3804,Atco,12350
3805,Mandeville,12345
3806,Miller Place,12339
3807,Fernandina Beach,12339
3808,Escanaba,12334
3810,Lake Los Angeles,12328
3814,Plover,12319
3816,Broadlands,12313
3817,Northlake,12312
3818,North Castle,12304
3819,Big Bear City,12304
3820,Eatontown,12301
3821,Coolidge,12297
3823,West Plains,12285
3826,Overlea,12275
3827,North Merrick,12272
3828,Port Saint John,12267
3830,Okmulgee,12244
3831,South Miami,12242
3832,Hasbrouck Heights,12227
3835,Clarkston,12215
3837,Davidson,12207
3838,Red Bank,12204
3839,Winfield,12204
3841,Kings Point,12201
3842,East Hanover,12194
3843,Tucson Estates,12192
3844,Suamico,12187
3845,Haverstraw,12187
3846,Timberlake,12183
3848,Choctaw,12179
3849,Lake City,12161
3850,Babylon,12161
3851,Travilah,12159
3852,Blue Ash,12159
3854,Neosho,12156
3855,Baraboo,12155
3857,Stony Point,12147
3859,Arkansas City,12136
3861,New Kingman-Butler,12134
3863,Speedway,12127
3865,Florida City,12122
3866,Port Royal,12122
3867,Wells Branch,12120
3868,Luling,12119
3869,Mount Sinai,12118
3870,Brown Deer,12102
3872,Dunkirk,12081
3875,Cloquet,12075
3876,Festus,12065
3878,Poquoson,12059
3879,Irmo,12056
3880,Lake Station,12054
3881,Glenn Heights,12042
3883,Goldenrod,12039
3887,Fairfax Station,12030
3889,Centerton,12023
3890,Red Oak,12022
3892,Los Alamos,12019
3893,Clawson,12015
3894,North Palm Beach,12015
3896,Fortuna,12000
3897,Cedar Lake,12000
3898,Glen Rock,11999
3899,Firestone,11999
3900,Portales,11995
3902,La Homa,11985
3904,Waconia,11968
3905,Shepherdsville,11967
3906,Crestwood,11966
3907,Youngsville,11961
3908,North Wantagh,11960
3909,Freehold,11959
3910,Monfort Heights,11948
3911,Scotts Valley,11945
3912,Holly Hill,11943
3913,Leeds,11936
3915,Bogalusa,11933
3916,Bennsville,11923
3917,Dranesville,11921
3918,Guymon,11921
3920,Bucyrus,11916
3921,Kelso,11901
3922,Pennsville,11888
3925,California,11857
3927,Terryville,11849
3928,Wanaque,11848
3929,Cypress Lake,11846
3931,Westwood Lake,11838
3932,Morgan City,11835
3933,Florham Park,11835
3934,Kingsburg,11824
3937,Cottonwood,11818
3938,Schiller Park,11806
3939,Lovington,11800
3940,Sugarland Run,11799
3944,Woodinville,11782
3946,Newport East,11769
3947,Snyder,11768
3949,Beachwood,11762
3950,Lower Burrell,11761
3951,Trophy Club,11759
3952,Somersworth,11759
3953,Healdsburg,11742
3954,Blackfoot,11740
3955,South Lyon,11722
3957,Carver,11718
3958,Wallington,11716
3959,Ocean Pines,11710
3960,Jensen Beach,11707
3961,Foothill Ranch,11698
3962,Emeryville,11694
3963,Azle,11693
3964,East Bethel,11692
3965,West Henrietta,11691
3966,Seven Hills,11690
3968,Macedonia,11686
3970,Magnolia,11669
3971,River Edge,11668
3972,Oquirrh,11668
3973,Guttenberg,11665
3974,Mexico,11660
3975,North Lindenhurst,11652
3976,Wyandanch,11647
3978,Lexington Park,11626
3980,Ravenna,11619
3981,Enumclaw,11609
3982,Oskaloosa,11607
3983,Verde Village,11605
3984,El Campo,11604
3985,Lynnfield,11596
3986,Cocoa Beach,11595
3988,Mack,11585
3990,Robstown,11576
3991,Lakeland South,11574
3992,Home Gardens,11570
3993,Villas,11569
3994,Signal Hill,11565
3995,Upper Montclair,11565
3996,Sun Village,11565
3997,Archdale,11564
3998,Tarrytown,11560
3999,Moss Bluff,11557
4000,Mountain Park,11554
4003,Valley Falls,11547
4005,North Bellport,11545
4007,Lakeland Village,11541
4008,Tomball,11540
4009,Greatwood,11538
4010,Destrehan,11535
4011,Gladeview,11535
4012,Cheney,11534
4014,Groveland,11528
4016,Shady Hills,11523
4017,Yeadon,11523
4018,Hobe Sound,11521
4019,Byram,11509
4020,Claiborne,11507
4021,Yulee,11491
4022,Rehoboth,11486
4023,Excelsior Springs,11486
4024,Robinson,11484
4025,Cedarburg,11482
4027,Lewisburg,11480
4028,Royse City,11465
4029,Prairie Ridge,11464
4030,Anna,11463
4031,Bellmawr,11462
4032,North Saint Paul,11460
4034,Los Alamitos,11449
4035,Endwell,11446
4036,Clute,11444
4037,Fenton,11442
4039,Branson,11431
4041,Mendota,11430
4042,Lakes by the Bay,11422
4043,Mays Chapel,11420
4045,Haddonfield,11414
4047,Webster,11412
4048,Crossville,11411
4049,D'Iberville,11400
4051,Piedmont,11376
4052,Ridgefield,11373
4053,Carnot-Moon,11372
4054,Ionia,11372
4055,Lyndon,11372
4056,Newcastle,11370
4057,Emmaus,11368
4058,Greentree,11367
4059,Tyngsboro,11366
4060,Grosse Ile,11361
4061,Jefferson Hills,11360
4062,Ocean City,11355
4065,Waupun,11343
4067,Oak Hills,11333
4068,North Valley,11333
4069,Two Rivers,11331
4070,Gloucester City,11329
4071,Lakewood Park,11323
4073,Fort Morgan,11319
4074,Mango,11313
4075,Gardnerville Ranchos,11312
4076,East Grand Rapids,11311
4077,Magalia,11310
4078,Broussard,11303
4079,Walker Mill,11302
4080,West Sedona,11299
4081,Robertsville,11297
4082,Merriam,11288
4084,Woods Cross,11284
4085,Spearfish,11283
4089,Guthrie,11270
4091,Cusseta,11267
4092,Communications Hill,11267
4093,Lewis Center,11261
4094,Wrentham,11251
4095,Loganville,11248
4097,Munhall,11247
4098,Yazoo City,11245
4099,Minooka,11243
4100,Campbellsville,11237
4101,Lake Grove,11235
4102,Yorktown,11231
4103,White House,11226
4104,Browns Mills,11223
4105,Mendota Heights,11223
4106,Grosse Pointe Park,11220
4108,Pike Creek Valley,11217
4111,Haysville,11212
4112,Spencer,11212
4113,North Smithfield,11212
4114,Orange City,11210
4116,Pompton Lakes,11202
4117,Vernal,11200
4118,River Forest,11199
4119,Saint Peter,11196
4120,Jefferson,11193
4121,Jerome,11184
4123,Elwood,11177
4125,Leon Valley,11174
4126,North Scituate,11171
4127,Webb City,11165
4128,Dudley,11165
4129,Tarboro,11164
4130,Sierra Madre,11163
4131,Galena Park,11162
4132,Camp Verde,11155
4133,Oakwood,11148
4134,Mount Kisco,11145
4135,East Renton Highlands,11140
4136,Raymondville,11139
4137,Chino Valley,11137
4138,Lantana,11136
4139,Oneida,11134
4140,Gulf Shores,11131
